,rollno,name,gender,hostel,python,sas,hadoop,fees,course,total
0,109,meena,F,True,62,79,71,141439,pg,212
1,102,apoorva,F,False,89,81,84,149517,pg,254
2,105,kastav,M,True,87,78,78,140754,msc,243
3,106,shubam,M,False,63,83,81,110212,msc,227
4,103,goldie,M,False,78,71,86,126958,pg,235
5,110,hitesh,M,True,76,65,75,118734,pg,216
6,101,shruti,F,False,77,74,88,126956,pg,239
7,107,vijay,M,True,89,82,80,104507,pg,251
8,104,achal,M,True,69,73,72,135048,pg,214
9,111,lalit,M,True,65,66,71,125026,pg,202
10,108,varun,M,False,82,73,79,123499,bsc,234
